2026-03-03-13-55-46_(MOS_IV_Transient_DC_Sweep)Id,Ig_vg@vd=-0.6;vs=0.0
vg(V),id(0.0),vg(V),ig(0.0),vg(V),gm(0.0)
0.200000000,-3.33157270e-08,0.200000000,4.57973375e-08,0.200000000,2.90298080e-07
0.180000000,-2.75097654e-08,0.180000000,1.73464990e-08,0.180000000,2.08997018e-07
0.160000000,-2.49558463e-08,0.160000000,3.01744945e-08,0.160000000,9.36345749e-08
0.140000000,-2.37643824e-08,0.140000000,2.14292566e-08,0.140000000,2.02162448e-08
0.120000000,-2.41471965e-08,0.120000000,2.95597431e-08,0.120000000,-5.17237063e-08
0.100000000,-2.58333306e-08,0.100000000,2.86020822e-08,0.100000000,-1.68959544e-07
0.0800000000,-3.09055782e-08,0.0800000000,7.38107837e-09,0.0800000000,-3.48956087e-07
0.0600000000,-3.97915741e-08,0.0600000000,2.73731229e-08,0.0600000000,-6.43000957e-07
0.0400000000,-5.66256165e-08,0.0400000000,2.42980451e-08,0.0400000000,-1.30074464e-06
0.0200000000,-9.18213596e-08,0.0200000000,1.50756078e-08,0.0200000000,-2.30396357e-06
0.00000000,-1.48784159e-07,0.00000000,2.31865216e-08,0.00000000,-4.54193981e-06
-0.0200000000,-2.73498952e-07,-0.0200000000,1.02913826e-09,-0.0200000000,-8.76079125e-06
-0.0400000000,-4.99215809e-07,-0.0400000000,1.87860971e-08,-0.0400000000,-1.83135900e-05
-0.0600000000,-1.00604255e-06,-0.0600000000,1.78932899e-08,-0.0600000000,-3.89538076e-05
-0.0800000000,-2.05736811e-06,-0.0800000000,4.40394139e-09,-0.0800000000,-7.67397052e-05
-0.100000000,-4.07563076e-06,-0.100000000,6.32341553e-09,-0.100000000,-0.000138706151
-0.120000000,-7.60561414e-06,-0.120000000,1.03298661e-08,-0.120000000,-0.000254186313
-0.140000000,-1.42430833e-05,-0.140000000,4.29634888e-09,-0.140000000,-0.000423008417
-0.160000000,-2.45259508e-05,-0.160000000,1.54971960e-08,-0.160000000,-0.000671491365
-0.180000000,-4.11027379e-05,-0.180000000,2.68993323e-09,-0.180000000,-0.00101363587
-0.200000000,-6.50713857e-05,-0.200000000,-7.81971035e-09,-0.200000000,-0.00145059688
-0.220000000,-9.91266130e-05,-0.220000000,1.27216882e-08,-0.220000000,-0.00201209201
-0.240000000,-0.000145555066,-0.240000000,1.33901091e-08,-0.240000000,-0.00273222115
-0.260000000,-0.000208415459,-0.260000000,6.19470323e-10,-0.260000000,-0.00356552222
-0.280000000,-0.000288175955,-0.280000000,2.76019583e-10,-0.280000000,-0.00448363509
-0.300000000,-0.000387760862,-0.300000000,5.76093881e-13,-0.300000000,-0.00559700459
-0.320000000,-0.000512056139,-0.320000000,-1.01063664e-10,-0.320000000,-0.00666862201
-0.340000000,-0.000654505743,-0.340000000,-3.51203003e-10,-0.340000000,-0.00771463101
-0.360000000,-0.000820641380,-0.360000000,-9.37627820e-09,-0.360000000,-0.00888503757
-0.380000000,-0.00100990725,-0.380000000,-1.28264204e-08,-0.380000000,-0.0100354395
-0.400000000,-0.00122205896,-0.400000000,-1.05436458e-08,-0.400000000,-0.0111858652
-0.420000000,-0.00145734185,-0.420000000,4.79725807e-09,-0.420000000,-0.0123934247
-0.440000000,-0.00171779594,-0.440000000,9.28832252e-09,-0.440000000,-0.0136714744
-0.460000000,-0.00200420083,-0.460000000,-8.07486110e-10,-0.460000000,-0.0148033944
-0.480000000,-0.00230993172,-0.480000000,4.03454682e-09,-0.480000000,-0.0159544282
-0.500000000,-0.00264237796,-0.500000000,-8.11061220e-10,-0.500000000,-0.0171016308
-0.520000000,-0.00299399695,-0.520000000,-8.05393612e-10,-0.520000000,-0.0180556366
-0.540000000,-0.00336460342,-0.540000000,-8.12770947e-10,-0.540000000,-0.0189530850
-0.560000000,-0.00375212035,-0.560000000,-1.29814481e-08,-0.560000000,-0.0198445582
-0.580000000,-0.00415838574,-0.580000000,-1.14470596e-09,-0.580000000,-0.0206753265
-0.600000000,-0.00457913341,-0.600000000,5.40167956e-09,-0.600000000,-0.0214779550
-0.620000000,-0.00501750394,-0.620000000,-9.76423571e-09,-0.620000000,-0.0222434034
-0.640000000,-0.00546886955,-0.640000000,-1.40699039e-08,-0.640000000,-0.0228303260
-0.660000000,-0.00593071698,-0.660000000,-1.28481878e-09,-0.660000000,-0.0232824016
-0.680000000,-0.00640016561,-0.680000000,-1.32604921e-09,-0.680000000,-0.0233543434
-0.700000000,-0.00686489072,-0.700000000,-1.36313837e-08,-0.700000000,-0.0232152061
-0.720000000,-0.00732877386,-0.720000000,-1.30102634e-08,-0.720000000,-0.0230672040
-0.740000000,-0.00778757888,-0.740000000,-1.79022912e-09,-0.740000000,-0.0227985854
-0.760000000,-0.00824071727,-0.760000000,-1.61229787e-09,-0.760000000,-0.0219225579
-0.780000000,-0.00866448119,-0.780000000,8.72863848e-09,-0.780000000,-0.0207435153
-0.800000000,-0.00907045788,-0.800000000,-1.30862238e-08,-0.800000000,-0.0195644728

